Date,Country,New_confirmed,Total_confirmed,New_deaths,Total_deaths,New_recovered,Total_recovered
2022-11-19T04:48:24.726Z,Thailand,0,4698373,0,33037,0,0
2022-11-19T04:48:24.726Z,Timor-Leste,2,23320,0,138,0,0
2022-11-19T04:48:24.726Z,Togo,0,39321,0,290,0,0
2022-11-19T04:48:24.726Z,Tonga,0,16182,0,12,0,0
2022-11-19T04:48:24.726Z,Trinidad and Tobago,0,185094,0,4263,0,0
2022-11-19T04:48:24.726Z,Tunisia,0,1146799,0,29266,0,0
2022-11-19T04:48:24.726Z,Turkey,0,16919638,0,101203,0,0
2022-11-19T04:48:24.726Z,Tuvalu,23,1555,0,0,0,0
2022-11-19T04:48:24.726Z,Uganda,0,169663,0,3630,0,0
2022-11-19T04:48:24.726Z,Ukraine,36,5635218,0,118295,0,0
2022-11-19T04:48:24.726Z,United Arab Emirates,0,1041874,0,2348,0,0
2022-11-19T04:48:24.726Z,United Kingdom,23441,24203583,666,212085,0,0
2022-11-19T04:48:24.726Z,United States of America,52503,98245940,407,1076492,0,0
2022-11-19T04:48:24.726Z,Uruguay,0,992035,0,7529,0,0
2022-11-19T04:48:24.726Z,Uzbekistan,61,245177,0,1637,0,0
2022-11-19T04:48:24.726Z,Vanuatu,0,11981,0,14,0,0
2022-11-19T04:48:24.726Z,Venezuela (Bolivarian Republic),0,546534,0,5825,0,0
2022-11-19T04:48:24.726Z,Viet Nam,509,11510484,0,43167,0,0
2022-11-19T04:48:24.726Z,Yemen,0,11945,0,2159,0,0
2022-11-19T04:48:24.726Z,Zambia,0,333685,0,4017,0,0
2022-11-19T04:48:24.726Z,Zimbabwe,0,257893,0,5606,0,0
